				R openBLAS					R MKL					MKL vs openBLAS		
				Runtime			Speedup		Runtime			Speedup		Mean & stdev	1.3	0.7
p	n	m	missing	cor	naive	matrix	naive	matrix	cor	naive	matrix	naive	matrix			
250	4500	250	0.1	2.505	0.622	0.313	4.0	8.0	2.511	0.623	0.228	4.0	11.0		1.4	
250	4500	250	0.2	2.527	0.622	0.248	4.1	10.2	2.532	0.619	0.144	4.1	17.6		1.7	
250	4500	250	0.3	2.510	0.618	0.273	4.1	9.2	2.542	0.632	0.225	4.0	11.3		1.2	
250	4500	250	0.4	2.531	0.620	0.312	4.1	8.1	2.545	0.616	0.185	4.1	13.8		1.7	
250	4500	250	0.5	2.503	0.621	0.322	4.0	7.8	2.507	0.627	0.319	4.0	7.9		1.0	
250	4750	250	0	2.652	0.660	0.313	4.0	8.5	2.769	0.655	0.241	4.2	11.5		1.3	
250	4750	250	0.1	2.650	0.653	0.340	4.1	7.8	2.644	0.641	0.192	4.1	13.8		1.8	
250	4750	250	0.2	2.673	0.648	0.357	4.1	7.5	2.685	0.658	0.196	4.1	13.7		1.8	
250	4750	250	0.3	2.641	0.646	0.328	4.1	8.1	2.679	0.643	0.222	4.2	12.1		1.5	
250	4750	250	0.4	2.767	0.642	0.315	4.3	8.8	2.662	0.645	0.243	4.1	11.0		1.3	
250	4750	250	0.5	2.635	0.642	0.321	4.1	8.2	2.663	0.641	0.169	4.2	15.8		1.9	
250	5000	250	0	2.978	0.685	0.288	4.3	10.3	2.784	0.677	0.215	4.1	12.9		1.3	
250	5000	250	0.1	2.816	0.679	0.313	4.1	9.0	2.786	0.673	0.157	4.1	17.7		2.0	
250	5000	250	0.2	2.784	0.680	0.330	4.1	8.4	2.794	0.673	0.213	4.2	13.1		1.5	
250	5000	250	0.3	2.809	0.690	0.345	4.1	8.1	2.800	0.673	0.156	4.2	17.9		2.2	
250	5000	250	0.4	2.798	0.696	0.345	4.0	8.1	2.773	0.680	0.223	4.1	12.4		1.5	
